Wavenumber (cm-1),Cleaned Intensity
200.0,2.5316622257232666
201.0,2.505584478378296
202.0,2.500575065612793
203.0,2.498194456100464
204.0,2.500807762145996
205.0,2.5118091106414795
206.0,2.52384877204895
207.0,2.525217294692993
208.0,2.5043394565582275
209.0,2.4781877994537354
210.0,2.4663352966308594
211.0,2.4614570140838623
212.0,2.457561731338501
213.0,2.450420618057251
214.0,2.4389352798461914
215.0,2.4311399459838867
216.0,2.438673257827759
217.0,2.460561990737915
218.0,2.474217176437378
219.0,2.465480089187622
220.0,2.447727918624878
221.0,2.4372832775115967
222.0,2.436497449874878
223.0,2.437040328979492
224.0,2.4353816509246826
225.0,2.421393632888794
226.0,2.40387225151062
227.0,2.398221254348755
228.0,2.40405011177063
229.0,2.411058187484741
230.0,2.41127347946167
231.0,2.4091341495513916
232.0,2.407912492752075
233.0,2.4103305339813232
234.0,2.4163405895233154
235.0,2.4204957485198975
236.0,2.40731143951416
237.0,2.374708890914917
238.0,2.354987621307373
239.0,2.3566534519195557
240.0,2.3604400157928467
241.0,2.3579628467559814
242.0,2.3296079635620117
243.0,2.2937285900115967
244.0,2.2845470905303955
245.0,2.300412893295288
246.0,2.3203446865081787
247.0,2.326751947402954
248.0,2.315551519393921
249.0,2.29870867729187
250.0,2.285388231277466
251.0,2.2709696292877197
252.0,2.2576112747192383
253.0,2.2429563999176025
254.0,2.224208116531372
255.0,2.2132182121276855
256.0,2.2171266078948975
257.0,2.2270514965057373
258.0,2.2317562103271484
259.0,2.242762804031372
260.0,2.2572317123413086
261.0,2.2565245628356934
262.0,2.2258434295654297
263.0,2.1911211013793945
264.0,2.1827993392944336
265.0,2.1947648525238037
266.0,2.207407236099243
267.0,2.2054946422576904
268.0,2.194643974304199
269.0,2.186795949935913
270.0,2.1876041889190674
271.0,2.190535306930542
272.0,2.1939384937286377
273.0,2.1947720050811768
274.0,2.1930201053619385
275.0,2.1913814544677734
276.0,2.1902546882629395
277.0,2.1894381046295166
278.0,2.1892569065093994
279.0,2.188339948654175
280.0,2.184180974960327
281.0,2.1705217361450195
282.0,2.139704704284668
283.0,2.1166317462921143
284.0,2.1225366592407227
285.0,2.144502639770508
286.0,2.1628711223602295
287.0,2.1661224365234375
288.0,2.1623241901397705
289.0,2.1598703861236572
290.0,2.1594865322113037
291.0,2.1600418090820312
292.0,2.1633079051971436
293.0,2.165700674057007
294.0,2.164318323135376
295.0,2.155634880065918
296.0,2.133638381958008
297.0,2.1115846633911133
298.0,2.098989248275757
299.0,2.087249755859375
300.0,2.078620195388794
301.0,2.0848772525787354
302.0,2.1054956912994385
303.0,2.116007089614868
304.0,2.1094319820404053
305.0,2.098151445388794
306.0,2.0894699096679688
307.0,2.0663399696350098
308.0,2.0419256687164307
309.0,2.0372872352600098
310.0,2.037721872329712
311.0,2.038648843765259
312.0,2.0458219051361084
313.0,2.0691111087799072
314.0,2.0923993587493896
315.0,2.1165523529052734
316.0,2.147578716278076
317.0,2.1597061157226562
318.0,2.1410067081451416
319.0,2.110743999481201
320.0,2.089970827102661
321.0,2.0705673694610596
322.0,2.056612253189087
323.0,2.063995361328125
324.0,2.101407766342163
325.0,2.1331138610839844
326.0,2.1275253295898438
327.0,2.1016929149627686
328.0,2.0818073749542236
329.0,2.093872308731079
330.0,2.1245663166046143
331.0,2.1350672245025635
332.0,2.102940797805786
333.0,2.0593459606170654
334.0,2.04361629486084
335.0,2.050461530685425
336.0,2.0614798069000244
337.0,2.0664143562316895
338.0,2.0706894397735596
339.0,2.0733418464660645
340.0,2.0707483291625977
341.0,2.062021017074585
342.0,2.0524349212646484
343.0,2.0334250926971436
344.0,2.007858991622925
345.0,1.9990700483322144
346.0,2.0111234188079834
347.0,2.028855085372925
348.0,2.0417778491973877
349.0,2.0639255046844482
350.0,2.0821444988250732
351.0,2.0866692066192627
352.0,2.095306158065796
353.0,2.09661602973938
354.0,2.0640134811401367
