Wavenumber (cm-1),Original Intensity,Fitted Intensity,Residual
200.0,0.5654377937316895,0.10623790594332497,0.4591998877883645
201.0,0.563839852809906,0.10728271859827494,0.4565571342116311
202.0,0.5533090233802795,0.10988864759582402,0.44342037578445553
203.0,0.5388476252555847,0.11392854525988586,0.4249190799956989
204.0,0.5303320288658142,0.11919682289776398,0.4111352059680502
205.0,0.5258302092552185,0.12542889397742774,0.40040131527779077
206.0,0.5224180817604065,0.13232516200413297,0.3900929197562735
207.0,0.5207887887954712,0.13957653626764485,0.3812122525278263
208.0,0.5185076594352722,0.14688848085883205,0.37161917857644017
209.0,0.5158981680870056,0.15400106860150883,0.36189709948549675
210.0,0.5124890208244324,0.1607033036216232,0.35178571720280916
211.0,0.5010269284248352,0.16684092818953233,0.33418600023530287
212.0,0.4906978905200958,0.17231786581746683,0.318380024702629
213.0,0.49095141887664795,0.17709222446558354,0.3138591944110644
214.0,0.4964510500431061,0.18116829409143587,0.3152827559516702
215.0,0.5007709860801697,0.18458618708457708,0.3161847989955926
216.0,0.49745428562164307,0.18741071185098565,0.3100435737706574
217.0,0.4877161681652069,0.18972080487203508,0.29799536329317183
218.0,0.48144397139549255,0.19160046204241857,0.289843509353074
219.0,0.48930808901786804,0.19313169322433937,0.29617639579352867
220.0,0.50510174036026,0.19438964593071467,0.31071209442954534
221.0,0.5110079646110535,0.19543975101227207,0.3155682135987814
222.0,0.5017511248588562,0.1963365545880973,0.3054145702707589
223.0,0.4888800084590912,0.19712381295401257,0.2917561955050786
224.0,0.4819401204586029,0.19783542216615843,0.28410469829244445
225.0,0.4797324240207672,0.19849680544214987,0.28123561857861734
226.0,0.4788639545440674,0.19912646305821718,0.2797374914858502
227.0,0.4797239601612091,0.19973747897043026,0.27998648119077885
228.0,0.48891186714172363,0.2003388604802246,0.28857300666149904
229.0,0.4993875026702881,0.2009366532820743,0.29845084938821376
230.0,0.503246009349823,0.20153482130312986,0.30171118804669317
231.0,0.5072138905525208,0.20213591000674183,0.30507798054577895
232.0,0.5101797580718994,0.20274152664266148,0.30743823142923793
233.0,0.5018120408058167,0.20335267540427834,0.2984593654015383
234.0,0.47153398394584656,0.20396998348359452,0.26756400046225204
235.0,0.44694089889526367,0.2045938487244165,0.24234705017084718
236.0,0.4452665150165558,0.20522453316697067,0.2400419818495851
237.0,0.45096883177757263,0.20586222060292775,0.24510661117464488
238.0,0.45391952991485596,0.20650705099982133,0.24741247891503462
239.0,0.4508632719516754,0.2071591405320955,0.24370413141957992
240.0,0.4469432830810547,0.20781859292678284,0.23912469015427185
241.0,0.4445399343967438,0.20848550572029043,0.23605442867645335
242.0,0.43698182702064514,0.20915997361690972,0.22782185340373542
243.0,0.42751526832580566,0.2098420902412552,0.21767317808455047
244.0,0.42648184299468994,0.2105319490238919,0.21594989397079803
245.0,0.436352014541626,0.2112296436307891,0.22512237091083687
246.0,0.44691202044487,0.21193526815827446,0.23497675228659554
247.0,0.44698628783226013,0.21264891720986753,0.2343373706223926
248.0,0.4354371130466461,0.21337068591443872,0.2220664271322074
249.0,0.4246979057788849,0.21410066991524057,0.21059723586364432
250.0,0.42657461762428284,0.21483896534408853,0.2117356522801943
251.0,0.4373737871646881,0.21558566878738664,0.22178811837730147
252.0,0.44461360573768616,0.21634087724701856,0.2282727284906676
253.0,0.4374525547027588,0.2171046880973983,0.2203478666053605
254.0,0.42110201716423035,0.2178771990391748,0.20322481812505555
255.0,0.4092155694961548,0.2186585080497261,0.19055706144642867
256.0,0.40469393134117126,0.21944871333042207,0.1852452180107492
257.0,0.40099772810935974,0.22024791325056084,0.1807498148587989
258.0,0.3989022672176361,0.22105620628785405,0.17784606092978206
259.0,0.40125736594200134,0.22187369096532175,0.1793836749766796
260.0,0.40514394640922546,0.222700465784445,0.18244348062478047
261.0,0.4048800468444824,0.223536629154422,0.18134341769006043
262.0,0.3992467224597931,0.22438227931736676,0.17486444314242633
263.0,0.3937356472015381,0.22523751426928285,0.16849813293225524
264.0,0.3949737548828125,0.22610243167664462,0.16887132320616788
265.0,0.4061097204685211,0.22697712878840812,0.179132591680113
266.0,0.4170406758785248,0.22786170234327488,0.1891789735352499
267.0,0.4176912009716034,0.22875624847202392,0.18893495249957948
268.0,0.4107303321361542,0.22966086259472487,0.1810694695414293
269.0,0.4054082930088043,0.23057563931264013,0.1748326536961642
270.0,0.4031553268432617,0.23150067229462182,0.1716546545486399
271.0,0.39754024147987366,0.23243605415780308,0.16510418732207058
272.0,0.394428014755249,0.23338187634238236,0.16104613841286666
273.0,0.3877016007900238,0.23433822898029524,0.15336337180972856
274.0,0.37678733468055725,0.23530520075756461,0.14148213392299264
275.0,0.3745194971561432,0.23628287877012003,0.13823661838602316
276.0,0.3886374235153198,0.23727134837287242,0.1513660751424474
277.0,0.4056931436061859,0.23827069302183024,0.16742245058435568
278.0,0.4074942171573639,0.239280994109042,0.1682132230483219
279.0,0.38647350668907166,0.24030233079014968,0.14617117589892198
