loss,accuracy,val_loss,val_accuracy,lr
8.018167495727539,0.18333333730697632,8.239664077758789,0.20000000298023224,0.0005
7.034440517425537,0.1666666716337204,7.042707920074463,0.0,0.0005
5.910778522491455,0.23333333432674408,5.650386810302734,0.20000000298023224,0.0005
5.218903541564941,0.21666666865348816,4.925226211547852,0.20000000298023224,0.0005
4.801782608032227,0.1666666716337204,4.5818095207214355,0.20000000298023224,0.0005
4.527030944824219,0.3166666626930237,4.378743648529053,0.4000000059604645,0.0005
4.378838539123535,0.23333333432674408,4.231876850128174,0.6000000238418579,0.0005
4.240086555480957,0.15000000596046448,4.09603214263916,0.6000000238418579,0.0005
4.096567153930664,0.2666666805744171,3.953611373901367,0.6000000238418579,0.0005
3.954148530960083,0.25,3.792398452758789,0.4000000059604645,0.0005
3.8325185775756836,0.18333333730697632,3.623828887939453,0.4000000059604645,0.0005
3.6223952770233154,0.36666667461395264,3.4765915870666504,0.20000000298023224,0.0005
3.5092661380767822,0.28333333134651184,3.294222354888916,0.4000000059604645,0.0005
3.3907668590545654,0.23333333432674408,3.1447110176086426,0.4000000059604645,0.0005
3.310105800628662,0.25,3.0098276138305664,0.4000000059604645,0.0005
3.1115939617156982,0.4166666567325592,2.9144628047943115,0.4000000059604645,0.0005
3.0305259227752686,0.28333333134651184,2.8577260971069336,0.4000000059604645,0.0005
2.8604180812835693,0.38333332538604736,2.8342971801757812,0.4000000059604645,0.0005
2.9646759033203125,0.38333332538604736,2.763951063156128,0.4000000059604645,0.0005
2.99634051322937,0.20000000298023224,2.755077600479126,0.20000000298023224,0.0005
2.7722065448760986,0.4000000059604645,2.779529094696045,0.20000000298023224,0.0005
2.7904210090637207,0.3333333432674408,2.600846290588379,0.4000000059604645,0.0005
2.6187093257904053,0.4000000059604645,2.489732265472412,0.4000000059604645,0.0005
2.711482286453247,0.30000001192092896,2.4719696044921875,0.4000000059604645,0.0005
2.6491830348968506,0.30000001192092896,2.587130308151245,0.20000000298023224,0.0005
2.52429461479187,0.3333333432674408,2.630077362060547,0.20000000298023224,0.0005
2.514082431793213,0.36666667461395264,2.582470178604126,0.20000000298023224,0.0005
2.471867799758911,0.3333333432674408,2.5462188720703125,0.20000000298023224,0.0005
