Wavenumber (cm-1),Cleaned Intensity
500.0,2.0841314792633057
501.0,2.0861623968396867
502.0,2.103844472340175
503.0,2.1259257112230574
504.0,2.1394693851470947
505.0,2.139392750603812
506.0,2.1307265758514404
507.0,2.1235954761505127
508.0,2.1378652368273054
509.0,2.1649329662323
510.0,2.185119186128889
511.0,2.194004603794643
512.0,2.1960165160042897
513.0,2.198990753718785
514.0,2.2097091674804688
515.0,2.2421693120683943
516.0,2.2671187605176653
517.0,2.266300916671753
518.0,2.2438576221466064
519.0,2.216251884187971
520.0,2.200043269566127
521.0,2.1975159645080566
522.0,2.198944228036063
523.0,2.200138671057565
524.0,2.2042056832994734
525.0,2.2101327010563443
526.0,2.2164299488067627
527.0,2.2230231080736433
528.0,2.2313969135284424
529.0,2.2339082786015103
530.0,2.2216710703713556
531.0,2.2028398854391917
532.0,2.190535851887294
533.0,2.193895305906023
534.0,2.2124729497092113
535.0,2.233999490737915
536.0,2.2526133060455322
537.0,2.278668165206909
538.0,2.3011552606310164
539.0,2.3171795436314175
540.0,2.32886757169451
541.0,2.340003796986171
542.0,2.3523952960968018
543.0,2.3827482972826277
544.0,2.408543416431972
545.0,2.412691354751587
546.0,2.3975586891174316
547.0,2.3774335043770924
548.0,2.369814702442714
549.0,2.3855249881744385
550.0,2.406384297779628
551.0,2.4070931502750943
552.0,2.3851373876844133
553.0,2.355261359895979
554.0,2.3338569572993686
555.0,2.3268826007843018
556.0,2.321312189102173
557.0,2.316073043005807
558.0,2.304316214152745
559.0,2.2886480944497247
560.0,2.2756359577178955
561.0,2.267693485532488
562.0,2.262413603918893
563.0,2.2593486309051514
564.0,2.2586378710610524
565.0,2.2575330393654958
566.0,2.25759380204337
567.0,2.260434184755598
568.0,2.2656327996935164
569.0,2.270406109946115
570.0,2.2710447311401367
571.0,2.2665989058358327
572.0,2.2598296914781844
573.0,2.2509731905800954
574.0,2.2407848834991455
575.0,2.2322757244110107
576.0,2.229830741882324
577.0,2.2357101440429688
578.0,2.2426109313964844
579.0,2.242246082850865
580.0,2.237349237714495
581.0,2.2319281101226807
582.0,2.232346636908395
583.0,2.2448739324297224
584.0,2.269700050354004
585.0,2.2827943393162315
586.0,2.2804999010903497
587.0,2.2720882211412703
588.0,2.2650036130632674
589.0,2.261469977242606
590.0,2.259545053754534
591.0,2.258622169494629
592.0,2.2594494138445174
593.0,2.262310028076172
594.0,2.2673613684517995
595.0,2.2731737409319197
596.0,2.279773916516985
597.0,2.289391347340175
598.0,2.3049070835113525
599.0,2.323332275663103
