Wavenumber (cm-1),Cleaned Intensity
500.0,5.621493816375732
501.0,5.605413641248431
502.0,5.620138508932931
503.0,5.643886225564139
504.0,5.656946182250977
505.0,5.654487064906529
506.0,5.645700931549072
507.0,5.639283657073975
508.0,5.640325886862619
509.0,5.643069744110107
510.0,5.646866185324533
511.0,5.653105054582868
512.0,5.6617986134120395
513.0,5.67154564176287
514.0,5.682876110076904
515.0,5.7144438198634555
516.0,5.738832405635288
517.0,5.743053913116455
518.0,5.7333687373570035
519.0,5.7202509471348355
520.0,5.710275990622384
521.0,5.704930782318115
522.0,5.702059950147357
523.0,5.700544697897775
524.0,5.7002580506461005
525.0,5.7023331097194125
526.0,5.709471225738525
527.0,5.724362713950021
528.0,5.746220111846924
529.0,5.760706288473947
530.0,5.768974849155971
531.0,5.775066648210798
532.0,5.781102793557303
533.0,5.790909835270473
534.0,5.807166985103062
535.0,5.822075366973877
536.0,5.844292436327253
537.0,5.888498170035226
538.0,5.9201477595738
539.0,5.916816507066999
540.0,5.882857935769217
541.0,5.846643107278006
542.0,5.840381145477295
543.0,5.867991243089948
544.0,5.892207622528076
545.0,5.893163885389056
546.0,5.874208177839007
547.0,5.851297651018415
548.0,5.843113286154611
549.0,5.8618950843811035
550.0,5.893542494092669
551.0,5.916931765420096
552.0,5.9382838521684915
553.0,5.955709934234619
554.0,5.960178443363735
555.0,5.94171987261091
556.0,5.900869369506836
557.0,5.878672327314105
558.0,5.880240508488247
559.0,5.891336917877197
560.0,5.9038150651114325
561.0,5.915756838662284
562.0,5.927606514522007
563.0,5.934300899505615
564.0,5.923397132328579
565.0,5.9027018547058105
566.0,5.887963771820068
567.0,5.880786078316825
568.0,5.877179145812988
569.0,5.874504429953439
570.0,5.876809597015381
571.0,5.87801490511213
572.0,5.881316253117153
573.0,5.889839240482876
574.0,5.902153083256312
575.0,5.914709568023682
576.0,5.9261932373046875
577.0,5.943782806396484
578.0,5.964236668178013
579.0,5.9709586415972025
580.0,5.957754475729806
581.0,5.935626098087856
582.0,5.916082450321743
583.0,5.901488372257778
584.0,5.88245153427124
