Wavenumber (cm-1),Cleaned Intensity
500.0,2.106187105178833
501.0,2.0897537980760847
502.0,2.0787365095955983
503.0,2.07133606501988
504.0,2.0685931614467075
505.0,2.0707808903285434
506.0,2.0757815156664168
507.0,2.0794475078582764
508.0,2.0763046741485596
509.0,2.070484229496547
510.0,2.067046642303467
511.0,2.0712075914655412
512.0,2.082808494567871
513.0,2.0959188597542897
514.0,2.1035704612731934
515.0,2.109076908656529
516.0,2.1123204231262207
517.0,2.10699040549142
518.0,2.0916898591177806
519.0,2.074700014931815
520.0,2.0710767337254117
521.0,2.092078685760498
522.0,2.1218110493251254
523.0,2.137911830629621
524.0,2.146939992904663
525.0,2.1526539666312083
526.0,2.1567959104265486
527.0,2.1599552631378174
528.0,2.1625115871429443
529.0,2.1633032730647495
530.0,2.1594148022787913
531.0,2.1534552914755687
532.0,2.151559352874756
533.0,2.1623266765049527
534.0,2.188515765326364
535.0,2.211491823196411
536.0,2.192198719297137
537.0,2.1442545141492575
538.0,2.1087849140167236
539.0,2.1022864069257463
540.0,2.117471763065883
541.0,2.1338492802211215
542.0,2.138035774230957
543.0,2.1368034907749722
544.0,2.1349148750305176
545.0,2.1318475859505788
546.0,2.12711923463004
547.0,2.121913126536778
548.0,2.118480954851423
549.0,2.1173224449157715
550.0,2.1164093698774065
551.0,2.112445218222482
552.0,2.0968792097909112
553.0,2.0773440429142545
554.0,2.071880783353533
555.0,2.0977027075631276
556.0,2.1544981002807617
557.0,2.183146340506417
558.0,2.169559580939157
559.0,2.1412154947008406
560.0,2.123079572405134
561.0,2.125955581665039
562.0,2.1437580244881764
563.0,2.1597065925598145
564.0,2.1537534168788364
565.0,2.1375293391091486
566.0,2.1254325253622874
567.0,2.1224000453948975
568.0,2.125727823802403
569.0,2.128723382949829
570.0,2.1261913776397705
571.0,2.1034462451934814
572.0,2.0835244996207103
573.0,2.0880039760044644
574.0,2.118218830653599
575.0,2.1542421068464006
576.0,2.165172576904297
577.0,2.130725860595703
578.0,2.0848528317042767
579.0,2.071110452924456
580.0,2.076237746647426
581.0,2.0872518675667897
582.0,2.0955051013401578
583.0,2.0987089361463274
584.0,2.1009252071380615
585.0,2.101356199809483
586.0,2.0937952314104353
587.0,2.0790328979492188
588.0,2.05777416910444
589.0,2.026377814156669
590.0,1.9846651383808682
591.0,1.9557980298995972
592.0,1.976580500602722
593.0,2.0176025799342563
594.0,2.0436922141483853
595.0,2.0445970126560757
596.0,2.0281231062752862
597.0,2.009894013404846
598.0,1.9997295141220093
599.0,1.9924870388848441
600.0,1.988513708114624
601.0,1.994398525782994
602.0,2.00942942074367
603.0,2.0245313985007147
604.0,2.0290633950914656
605.0,2.0254738330841064
606.0,2.021569149834769
607.0,2.020247902188982
608.0,2.0197783538273404
609.0,2.019575834274292
610.0,2.0239390986306325
611.0,2.038578578404018
612.0,2.0599365234375
613.0,2.064383166176932
614.0,2.0559584413255965
615.0,2.0455353260040283
616.0,2.0420988287244524
617.0,2.0479263237544467
618.0,2.0578811849866594
619.0,2.062819719314575
620.0,2.0213487829480856
621.0,1.967017803873335
622.0,1.9443837404251099
623.0,1.959794129644121
624.0,1.993665541921343
625.0,2.0150010074887956
626.0,1.998146414756775
627.0,1.9533212355204996
628.0,1.9172250713620869
629.0,1.889353769166129
630.0,1.8687148605074204
631.0,1.8580514192581177
632.0,1.8619373866489954
633.0,1.87874436378479
634.0,1.9010979448046001
635.0,1.9311172791889732
636.0,1.966044749532427
637.0,1.992822238377162
