Wavenumber (cm-1),Cleaned Intensity
500.0,2.8401060104370117
501.0,2.848081111907959
502.0,2.829943759100778
503.0,2.803942918777466
504.0,2.79278564453125
505.0,2.807619367327009
506.0,2.840137617928641
507.0,2.862809181213379
508.0,2.852482727595738
509.0,2.835660559790475
510.0,2.8243652411869595
511.0,2.816380330494472
512.0,2.8090923513684953
513.0,2.8067328929901123
514.0,2.8210208415985107
515.0,2.8618693011147633
516.0,2.894532169614519
517.0,2.8964359760284424
518.0,2.87258403641837
519.0,2.846029588154384
520.0,2.844358886991228
521.0,2.8821842670440674
522.0,2.9259863240378245
523.0,2.9370386941092357
524.0,2.924213000706264
525.0,2.904689073562622
526.0,2.8986261572156633
527.0,2.920076438358852
528.0,2.9641408920288086
529.0,2.9873206956045966
530.0,2.9947876930236816
531.0,2.9990055901663646
532.0,3.003706761768886
533.0,3.012035063334874
534.0,3.025806256702968
535.0,3.03588604927063
536.0,3.018779993057251
537.0,2.9821978637150357
538.0,2.955870049340384
539.0,2.9634511470794678
540.0,3.0035787650517056
541.0,3.0499330588749474
542.0,3.0702970027923584
543.0,3.0775985377175465
544.0,3.080583163670131
545.0,3.07314818246024
546.0,3.051823854446411
547.0,3.0249786036355153
548.0,3.0066347462790355
549.0,2.9948947429656982
550.0,2.9833120959145685
551.0,2.9807842458997453
552.0,2.988936390195574
553.0,3.0001756123134067
554.0,3.0048668725149974
555.0,2.997974225452968
556.0,2.9851672649383545
557.0,2.975418533597674
558.0,2.969452142715454
559.0,2.965564285005842
560.0,2.9643142223358154
561.0,2.9678542613983154
562.0,2.9768339565822055
563.0,2.9848785400390625
564.0,2.9774928092956543
565.0,2.958832093647548
566.0,2.945200409208025
567.0,2.9425006253378734
568.0,2.9480535302843367
569.0,2.9550769329071045
570.0,2.959824800491333
571.0,2.9579038279397145
572.0,2.9538261890411377
573.0,2.943826641355242
574.0,2.9240618773869107
575.0,2.901525872094291
576.0,2.8871853351593018
577.0,2.87133526802063
578.0,2.8548545496804376
579.0,2.8620501586369107
580.0,2.8983920982905795
581.0,2.9409798554011752
582.0,2.962131534303938
583.0,2.948923417500087
584.0,2.91867995262146
585.0,2.8906464236123224
586.0,2.8613778863634383
587.0,2.833941629954747
588.0,2.8162287303379605
589.0,2.8099673134940013
590.0,2.809537308556693
591.0,2.81058669090271
592.0,2.8103815146854947
593.0,2.810720784323556
594.0,2.8130171639578685
595.0,2.8169636385781422
596.0,2.8211563995906284
597.0,2.823554515838623
598.0,2.8217763900756836
599.0,2.812901496887207
600.0,2.8071975708007812
601.0,2.8153325489589145
602.0,2.8362368174961636
603.0,2.8591395105634416
604.0,2.8741827351706366
605.0,2.891613721847534
606.0,2.9069694450923373
607.0,2.9104171821049283
608.0,2.9086950506482805
609.0,2.903263194220407
610.0,2.8898396151406427
611.0,2.8636134011404857
612.0,2.8301353454589844
613.0,2.8152050971984863
614.0,2.819509949002947
615.0,2.829625027520316
616.0,2.8379392623901367
617.0,2.8463076863970076
618.0,2.859496900013515
619.0,2.8684237003326416
620.0,2.867337329047067
621.0,2.864102295466832
622.0,2.8638198035103932
623.0,2.8711950097765238
624.0,2.8836237021854942
625.0,2.889258963721139
626.0,2.8700578212738037
627.0,2.8265849862779895
628.0,2.8069909640720914
629.0,2.821807997567313
630.0,2.8533862318311414
631.0,2.877598932811192
632.0,2.8829738753182546
633.0,2.8872509002685547
634.0,2.8911288125174384
635.0,2.90253598349435
636.0,2.9212044307163785
637.0,2.935059036527361
638.0,2.9337749821799144
639.0,2.9172354425702776
640.0,2.8988895416259766
641.0,2.896975108555385
642.0,2.901982988630022
643.0,2.9023498807634627
644.0,2.8929215839930946
645.0,2.875896658216204
646.0,2.858101946966989
647.0,2.844599962234497
648.0,2.832197836467198
649.0,2.823002440588815
650.0,2.823193311691284
651.0,2.833689791815621
652.0,2.847740956715175
653.0,2.857572453362601
654.0,2.8700902462005615
655.0,2.882878405707223
656.0,2.888454062598092
657.0,2.8976577690669467
658.0,2.910306964601789
659.0,2.927463293075561
660.0,2.9527816091265
661.0,2.982940673828125
662.0,2.9901040622166226
663.0,2.9862208366394043
664.0,2.97780568259103
665.0,2.9655753203800748
666.0,2.9474493776048933
667.0,2.9234207017081126
668.0,2.9022951126098633
669.0,2.873224667140416
670.0,2.845663922173637
671.0,2.836059672491891
672.0,2.843832969665527
673.0,2.858798367636544
674.0,2.868807452065604
675.0,2.867616653442383
676.0,2.8634221894400462
677.0,2.8616694722856795
678.0,2.8624612263270786
679.0,2.865235907690866
680.0,2.871262311935425
681.0,2.883583409445626
682.0,2.904409408569336
683.0,2.9140050751822337
684.0,2.907885381153652
685.0,2.8961632251739506
686.0,2.8883522238050188
687.0,2.8883847849709645
688.0,2.8937515190669467
689.0,2.8987619876861572
690.0,2.8998612335750034
691.0,2.9004315308162143
692.0,2.8996847357068742
693.0,2.8917588847024103
694.0,2.877376931054252
695.0,2.865612745285034
696.0,2.8657643795013428
697.0,2.8704609530312672
698.0,2.8766283988952637
699.0,2.8914465223039896
700.0,2.9126942157745357
701.0,2.930509533200945
702.0,2.9335248470306396
703.0,2.919377088546753
704.0,2.907750299998692
705.0,2.9144705023084367
706.0,2.930932010923113
707.0,2.9439896174839566
708.0,2.9508276666913713
709.0,2.9576893193381175
710.0,2.96246600151062
711.0,2.9466682502201627
712.0,2.913494723183769
713.0,2.8866067613874167
714.0,2.870119503566197
715.0,2.859973362513951
716.0,2.854220424379621
717.0,2.8622257709503174
718.0,2.9016805035727353
719.0,2.9294241155896863
720.0,2.9339407171521867
721.0,2.9254057747977122
722.0,2.9157859938485284
723.0,2.9095654828207835
724.0,2.9050981998443604
725.0,2.903280019760132
726.0,2.910392999649048
727.0,2.926464523587908
728.0,2.940978901726859
729.0,2.9439415591103693
730.0,2.9336523669106622
731.0,2.9211881160736084
732.0,2.9225307532719205
733.0,2.9324101379939487
734.0,2.946221794400896
735.0,2.9616926738194054
736.0,2.977248396192278
737.0,2.991037062236241
738.0,3.0006096363067627
739.0,3.010479756764003
740.0,3.017790283475603
741.0,3.0203803266797746
742.0,3.01966997555324
743.0,3.0186821733202254
744.0,3.0201119354793002
745.0,3.0244429111480713
746.0,3.0299462931496755
747.0,3.0442040647779187
748.0,3.071381330490112
749.0,3.095450810023716
