Wavenumber (cm-1),Cleaned Intensity
200.0,0.07389480620622635
201.0,0.0847170427441597
202.0,0.08273955434560776
203.0,0.07713060826063156
204.0,0.07516611367464066
205.0,0.07703699916601181
206.0,0.07922372221946716
207.0,0.07928497344255447
208.0,0.073482446372509
209.0,0.06700820475816727
210.0,0.06600871682167053
211.0,0.06742321699857712
212.0,0.0687565729022026
213.0,0.06901407241821289
214.0,0.06932088732719421
215.0,0.06916309893131256
216.0,0.06896685808897018
217.0,0.07030604779720306
218.0,0.07191572338342667
219.0,0.07589669525623322
220.0,0.08245129138231277
221.0,0.08498170226812363
222.0,0.0774843618273735
223.0,0.06575307250022888
224.0,0.059942856431007385
225.0,0.06284027546644211
226.0,0.06758179515600204
227.0,0.06722485274076462
228.0,0.061349932104349136
229.0,0.055694580078125
230.0,0.05708707496523857
231.0,0.0692373514175415
232.0,0.08026430755853653
233.0,0.0815003290772438
234.0,0.08090022206306458
235.0,0.07963475584983826
236.0,0.07710090279579163
237.0,0.07293828576803207
238.0,0.06924185901880264
239.0,0.06613282114267349
240.0,0.06308583915233612
241.0,0.061278071254491806
242.0,0.058233994990587234
243.0,0.055255431681871414
244.0,0.05683540925383568
245.0,0.06764861941337585
246.0,0.0788845419883728
247.0,0.08037196844816208
248.0,0.0762157142162323
249.0,0.07132197916507721
250.0,0.06851021200418472
251.0,0.06684723496437073
252.0,0.06680082529783249
253.0,0.07017027586698532
254.0,0.07605156302452087
255.0,0.07827196270227432
256.0,0.0712243914604187
257.0,0.06023164466023445
258.0,0.05563623830676079
259.0,0.061364781111478806
260.0,0.07010795921087265
261.0,0.07398391515016556
262.0,0.07236972451210022
263.0,0.06932565569877625
264.0,0.06686447560787201
265.0,0.05991235747933388
266.0,0.05388415977358818
267.0,0.055132389068603516
268.0,0.06163951754570007
269.0,0.06722194701433182
270.0,0.06963513046503067
271.0,0.07209658622741699
272.0,0.07278341054916382
273.0,0.06790346652269363
274.0,0.06033426895737648
275.0,0.05764714255928993
276.0,0.062377531081438065
277.0,0.0690641850233078
278.0,0.07263040542602539
