Wavenumber (cm-1),Cleaned Intensity
500.0,1.1821544170379639
501.0,1.1874572704666713
502.0,1.1781943332197067
503.0,1.1572943317024345
504.0,1.1311840053436555
505.0,1.1113416544423178
506.0,1.1080971226830356
507.0,1.1166782143204188
508.0,1.1394915481395693
509.0,1.1571651982293223
510.0,1.1666745106084684
511.0,1.166811763151087
512.0,1.1593241113714046
513.0,1.1489352753319138
514.0,1.1422509676747554
515.0,1.1402670727073723
516.0,1.1449548320414642
517.0,1.1515499099539481
518.0,1.1574035840723158
519.0,1.1608386013535372
520.0,1.1609898215128434
521.0,1.1586296479023936
522.0,1.1561980550146846
523.0,1.1539994504998698
524.0,1.1528170405352611
525.0,1.152199647067241
526.0,1.1517193291037953
527.0,1.1513992780028124
528.0,1.1513119867561536
529.0,1.1528617836948105
530.0,1.155142477911601
531.0,1.158092454193019
532.0,1.16105687148209
533.0,1.1637149616600997
534.0,1.1662422734517774
535.0,1.1687078614539244
536.0,1.1715577949291982
537.0,1.1757048310255007
538.0,1.180847006951281
539.0,1.186936945508413
540.0,1.192379447107051
541.0,1.1935551423359918
542.0,1.185670205088547
543.0,1.1647312019717333
544.0,1.1376796765036656
545.0,1.1180966985229255
546.0,1.1077541938145659
547.0,1.103995132259664
548.0,1.1036406420792322
549.0,1.103424050172489
550.0,1.1058696422511414
551.0,1.1126656669826804
552.0,1.1279313833727274
553.0,1.145052236542348
554.0,1.158203613168305
555.0,1.165339559656168
556.0,1.1626464630462898
557.0,1.1585999390360004
558.0,1.1540552084187288
559.0,1.1497597451204655
560.0,1.145525274283691
561.0,1.1413571753387513
562.0,1.1377125527789183
563.0,1.1348869746391317
564.0,1.134930839460286
565.0,1.1353933644144125
566.0,1.1361180720785051
567.0,1.1367120501987216
568.0,1.1352253598752802
569.0,1.1294476490178276
570.0,1.1208219710712828
571.0,1.1097344021633821
572.0,1.1064921672309251
573.0,1.1114339484101963
574.0,1.1252885687785688
575.0,1.1440176886407434
576.0,1.1594021288805332
577.0,1.1653718213781914
578.0,1.1620360064657944
579.0,1.1539760434985957
580.0,1.1471894263857623
581.0,1.1446934645325517
582.0,1.1491856896060695
583.0,1.1620614441839603
