loss,accuracy,val_loss,val_accuracy,lr
7.230161666870117,0.15000000596046448,2.638399124145508,0.0,1e-05
6.160933017730713,0.18333333730697632,2.633352518081665,0.0,9.704455e-06
8.49073600769043,0.13333334028720856,2.625899314880371,0.0,9.139311e-06
7.665979862213135,0.21666666865348816,2.6143605709075928,0.0,8.352702e-06
7.7411699295043945,0.13333334028720856,2.6071581840515137,0.0,7.4081822e-06
8.29449462890625,0.13333334028720856,2.5987017154693604,0.0,6.3762814e-06
7.460434436798096,0.23333333432674408,2.5910913944244385,0.0,5.3259178e-06
8.675201416015625,0.1666666716337204,2.585570812225342,0.0,4.317105e-06
7.216407299041748,0.13333334028720856,2.581932783126831,0.0,3.395955e-06
8.028850555419922,0.18333333730697632,2.579104423522949,0.20000000298023224,2.5924023e-06
8.43182373046875,0.0833333358168602,2.577094793319702,0.20000000298023224,1.9204988e-06
7.856732368469238,0.20000000298023224,2.575162887573242,0.20000000298023224,1.3806922e-06
8.415040969848633,0.18333333730697632,2.5733208656311035,0.20000000298023224,9.632763e-07
7.7251200675964355,0.06666667014360428,2.5719547271728516,0.20000000298023224,6.5219285e-07
8.441990852355957,0.15000000596046448,2.5713634490966797,0.20000000298023224,4.2852125e-07
7.428640842437744,0.21666666865348816,2.570869207382202,0.20000000298023224,2.7323722e-07
7.2234721183776855,0.20000000298023224,2.5707597732543945,0.20000000298023224,1.6907465e-07
7.392592430114746,0.1666666716337204,2.570275068283081,0.20000000298023224,1.01528585e-07
7.197390556335449,0.13333334028720856,2.5698177814483643,0.20000000298023224,5.9165604e-08
7.643754005432129,0.21666666865348816,2.569122791290283,0.20000000298023224,3.3459653e-08
7.910723686218262,0.10000000149011612,2.5684618949890137,0.20000000298023224,1.8363046e-08
8.185131072998047,0.23333333432674408,2.567747116088867,0.20000000298023224,9.780008e-09
7.467383861541748,0.15000000596046448,2.567251682281494,0.20000000298023224,5.0548103e-09
7.601599216461182,0.1666666716337204,2.5661635398864746,0.20000000298023224,2.535372e-09
6.848989009857178,0.23333333432674408,2.5654196739196777,0.20000000298023224,1.234098e-09
