DeviceSN	40009
LaserWavelength_nm	785
Exposure_ms	2000
GainMultiplier	1
LaserCurrent_mA	3130
LaserPower_mW	89.000145
RepetitionCount	3
Tags	
670	1.03914392
671	1.06077385
672	1.08934569
673	1.08723199
674	1.05193007
675	1.02789927
676	1.03797007
677	1.05547702
678	1.06088829
679	1.05066133
680	1.03871572
681	1.0325278
682	1.02497721
683	1.0219928
684	1.02368808
685	1.02595735
686	1.02720046
687	1.02863705
688	1.02596629
689	1.01349437
690	0.998893857
691	0.999640107
692	1.03107405
693	1.06002653
694	1.0671221
695	1.07381642
696	1.07487488
697	1.0523653
698	1.02773881
699	1.0303992
700	1.04932868
701	1.06324804
702	1.0757637
703	1.08907628
704	1.09200132
705	1.09486246
706	1.09693348
707	1.09024072
708	1.078336
709	1.07815111
710	1.09242594
711	1.10886359
712	1.12252092
713	1.13966596
714	1.15106857
715	1.16947949
716	1.18706381
717	1.1878649
718	1.18473148
719	1.18671978
720	1.20434201
721	1.22564042
722	1.22882497
723	1.21642721
724	1.2070471
725	1.20546317
726	1.20082164
727	1.19238639
728	1.17226505
729	1.15654838
730	1.15645897
731	1.15797162
732	1.15596581
733	1.14064431
734	1.12550116
735	1.12990904
736	1.14930761
737	1.16223812
738	1.16159534
739	1.15744388
740	1.15831685
741	1.16535664
742	1.16975117
743	1.16272378
744	1.15244007
745	1.15426636
746	1.17001021
747	1.18800676
748	1.20587862
749	1.22731173
750	1.24349344
751	1.2574538
752	1.26768589
753	1.27558708
754	1.28589714
755	1.28860164
756	1.274333
757	1.25797868
758	1.25336611
759	1.25107217
760	1.25032306
761	1.25380838
762	1.2585746
763	1.25907755
764	1.25566173
765	1.25357556
766	1.25012314
767	1.24604452
768	1.2573483
769	1.30842578
770	1.34316266
771	1.34282804
772	1.33917701
773	1.34214044
774	1.36661446
775	1.38357651
776	1.37483835
777	1.36062098
778	1.35287809
779	1.33310986
780	1.31627774
781	1.30886102
782	1.29384506
783	1.27960348
784	1.25136054
785	1.2250967
786	1.21571791
787	1.20910358
788	1.20647693
789	1.20128143
790	1.19623125
791	1.19285333
792	1.18419421
793	1.18083024
794	1.1912452
795	1.20254135
796	1.20011735
797	1.19024336
798	1.18268347
799	1.18123126
800	1.18499243
801	1.19780362
802	1.22325099
803	1.23838651
804	1.23417509
805	1.22684979
806	1.23413503
807	1.25869024
808	1.2721895
809	1.26923323
810	1.267205
811	1.27545309
812	1.29583573
813	1.31467915
814	1.33379722
815	1.35573578
816	1.37566864
817	1.41211176
818	1.43476903
819	1.43395758
820	1.42977524
821	1.43122566
822	1.45005298
823	1.46313012
824	1.46829069
825	1.47545278
826	1.47031713
827	1.44843638
828	1.43215108
829	1.43580854
830	1.44567585
831	1.44388556
832	1.41836572
833	1.40060675
834	1.41221559
835	1.43235016
836	1.44103312
837	1.45308352
838	1.46554518
839	1.47795987
840	1.49039507
841	1.4964664
842	1.52202415
843	1.55185413
844	1.58185482
845	1.61426044
846	1.62889051
847	1.63191438
848	1.63060737
849	1.62693644
850	1.62119913
851	1.6175189
852	1.62111807
853	1.62012649
854	1.60713208
855	1.59022498
856	1.57295573
857	1.54205763
858	1.52372158
859	1.52708364
860	1.53495252
861	1.54684186
862	1.57177567
863	1.5870018
864	1.57537031
865	1.55581522
866	1.54990077
867	1.54666257
868	1.5451026
869	1.54390574
870	1.54257548
871	1.55139315
872	1.58843946
873	1.61080229
874	1.5983696
875	1.58063459
876	1.58331776
877	1.59853876
878	1.60595393
879	1.57826555
880	1.54342103
881	1.54623246
882	1.57207894
883	1.58845353
884	1.59083712
885	1.59192824
886	1.59755588
887	1.60573554
888	1.60821533
889	1.59343457
890	1.57837009
891	1.58707213
892	1.61110353
893	1.62040949
894	1.61358762
895	1.60534978
896	1.59751165
897	1.58291924
898	1.57433152
899	1.56854749
900	1.56522298
901	1.56525528
902	1.56437957
903	1.55796671
904	1.53219151
905	1.51358557
906	1.52116609
907	1.53753161
908	1.55006075
909	1.56437588
910	1.57191324
911	1.56817496
912	1.56142139
913	1.55726492
914	1.55433798
915	1.55327201
916	1.55842984
917	1.5651257
918	1.56963909
919	1.58292675
920	1.58989286
921	1.6132046
922	1.63904667
923	1.63398504
924	1.61291313
925	1.60212898
926	1.61369288
927	1.63053107
928	1.64387131
929	1.65959072
930	1.66134167
931	1.63891673
932	1.61982918
933	1.62007165
934	1.62300491
935	1.61868715
936	1.59843111
937	1.583951
938	1.59095848
939	1.60303605
940	1.59825754
941	1.5774498
942	1.56720805
943	1.57472396
944	1.58442402
945	1.59127319
946	1.60523009
947	1.61081076
948	1.60291195
949	1.59591103
950	1.59965467
951	1.60557818
952	1.60712981
953	1.6012423
954	1.59724116
955	1.61033368
956	1.63146591
957	1.63273644
958	1.61728501
959	1.6076839
960	1.61176467
961	1.61650181
962	1.6070385
963	1.57811689
964	1.55914962
965	1.55063248
966	1.54887295
967	1.56232977
968	1.58489466
969	1.59002733
970	1.57232058
971	1.55000114
972	1.53144455
973	1.51627016
974	1.51858091
975	1.54538274
976	1.56134248
977	1.54490733
978	1.52249122
979	1.51937604
980	1.5233171
981	1.52975249
982	1.54611921
983	1.56080735
984	1.56598115
985	1.57491994
986	1.58246005
987	1.59037662
988	1.59468269
989	1.59733057
990	1.60419178
991	1.61775112
992	1.65616632
993	1.70967257
994	1.79505372
995	1.90625453
996	2.04405951
997	2.20915079
998	2.27620697
999	2.29745674
1000	2.30684233
1001	2.2358644
1002	2.07816148
1003	1.96187961
1004	1.86820483
1005	1.79193187
1006	1.72703505
1007	1.67841423
1008	1.65968847
1009	1.6531229
1010	1.64117455
1011	1.60987699
1012	1.57343817
1013	1.53737044
1014	1.50218403
1015	1.49837422
1016	1.52907658
1017	1.54856467
1018	1.54163265
1019	1.53203154
1020	1.52967381
1021	1.52911735
1022	1.53645527
1023	1.59390068
1024	1.65593445
1025	1.69694316
1026	1.74359059
1027	1.74803221
1028	1.71537399
1029	1.68896055
1030	1.67079353
1031	1.65000319
1032	1.62834907
1033	1.59265661
1034	1.57506251
1035	1.57527602
1036	1.57116938
1037	1.54132485
1038	1.50280225
1039	1.4988817
1040	1.51675344
1041	1.52790391
1042	1.52524614
1043	1.52130103
1044	1.52469385
1045	1.53320682
1046	1.53668547
1047	1.53143001
1048	1.52624702
1049	1.52132559
1050	1.51510441
1051	1.5210042
1052	1.54388046
1053	1.55383945
1054	1.54131532
1055	1.52955973
1056	1.52985334
1057	1.53007531
1058	1.5364697
1059	1.55057311
1060	1.56013501
1061	1.55785871
1062	1.55255151
1063	1.5517149
1064	1.55177069
1065	1.55647302
1066	1.57891273
1067	1.59633517
1068	1.58837128
1069	1.57394791
1070	1.57580185
1071	1.59296012
1072	1.60493326
1073	1.60555053
1074	1.60250664
1075	1.60484648
1076	1.61326218
1077	1.61653233
1078	1.6237886
1079	1.62814569
1080	1.63012683
1081	1.6325748
1082	1.63936734
1083	1.65743494
1084	1.66183138
1085	1.6573081
1086	1.65432906
1087	1.64566994
1088	1.63341212
1089	1.63312352
1090	1.63445044
1091	1.64303219
1092	1.67823243
1093	1.70555496
1094	1.68674111
1095	1.65113831
1096	1.6410284
1097	1.63749826
1098	1.63014174
1099	1.60689723
1100	1.58770514
1101	1.5928812
1102	1.60447359
1103	1.60310841
1104	1.5812149
1105	1.56782937
1106	1.57928467
1107	1.59346724
1108	1.58737683
1109	1.57026863
1110	1.56327105
1111	1.55974841
1112	1.55506849
1113	1.53893077
1114	1.52234316
1115	1.53205037
1116	1.56432605
1117	1.58596015
1118	1.6059624
1119	1.61601532
1120	1.5968411
1121	1.56611276
1122	1.54692996
1123	1.52578616
1124	1.51263213
1125	1.50475454
1126	1.49594712
1127	1.47211039
1128	1.43588209
1129	1.40113389
1130	1.36389601
1131	1.33551025
1132	1.30911183
1133	1.29590511
1134	1.30679905
1135	1.32335973
1136	1.3197726
1137	1.2973485
1138	1.28947103
1139	1.28965414
1140	1.29109538
1141	1.2955277
1142	1.29997802
1143	1.29923093
1144	1.29545557
1145	1.2948724
1146	1.30290997
1147	1.31173205
1148	1.32693756
1149	1.34537804
1150	1.35008752
1151	1.35216367
1152	1.35076773
1153	1.33354735
1154	1.31988847
1155	1.32527649
1156	1.33392465
1157	1.32196379
1158	1.28888214
1159	1.27716565
1160	1.28182924
1161	1.28964245
1162	1.30373836
1163	1.3188889
1164	1.32850754
1165	1.34358394
1166	1.35276008
1167	1.37040448
1168	1.38105595
1169	1.37307787
1170	1.36291695
1171	1.36014593
1172	1.35347021
1173	1.34624159
1174	1.3349123
1175	1.32389307
1176	1.30867982
1177	1.29424024
1178	1.28596771
1179	1.27940285
1180	1.28286433
1181	1.29904199
1182	1.31631815
1183	1.34232128
1184	1.3605212
1185	1.3421731
1186	1.30996811
1187	1.3196286
1188	1.3753159
1189	1.40266323
1190	1.40357709
1191	1.40557313
1192	1.42161787
1193	1.44579256
1194	1.47300959
1195	1.50920713
1196	1.52649713
1197	1.53161883
1198	1.53927612
1199	1.57859707
1200	1.62285638
1201	1.63134074
1202	1.63075113
1203	1.63549924
1204	1.64815378
1205	1.65673423
1206	1.65763903
1207	1.65602124
1208	1.65528607
1209	1.656389
1210	1.66316748
1211	1.68110538
1212	1.69263268
1213	1.69859266
1214	1.70329928
1215	1.71279788
1216	1.72501731
1217	1.73714352
1218	1.75694132
1219	1.76745701
1220	1.79677749
1221	1.81855404
1222	1.83152151
1223	1.84321916
1224	1.8481226
1225	1.8498385
1226	1.84967971
1227	1.84889948
1228	1.85087049
1229	1.862643
1230	1.87247145
1231	1.86629605
1232	1.85590148
1233	1.86339188
1234	1.88452601
1235	1.88840485
1236	1.87540317
1237	1.86718273
1238	1.87083769
1239	1.87657356
1240	1.88557744
1241	1.89828849
1242	1.89814186
1243	1.89542592
1244	1.89136219
1245	1.87159514
1246	1.85845828
1247	1.87029159
1248	1.88808334
1249	1.89642477
1250	1.90152168
1251	1.90032887
1252	1.89449835
1253	1.88897872
1254	1.87781167
1255	1.86971831
1256	1.88986433
1257	1.9211607
1258	1.91714489
1259	1.89246082
1260	1.88428307
1261	1.87902188
1262	1.87443733
1263	1.87285066
1264	1.87261212
1265	1.87362814
1266	1.87543607
1267	1.87787795
1268	1.88530087
1269	1.88293123
1270	1.84031045
1271	1.81436706
1272	1.83866763
1273	1.86599433
1274	1.86522913
1275	1.85963583
1276	1.85820234
1277	1.85624886
1278	1.85571086
1279	1.85745287
1280	1.85859036
1281	1.85387111
1282	1.84837723
1283	1.85160708
1284	1.85898829
1285	1.86010706
1286	1.85935378
1287	1.86606801
1288	1.8974998
1289	1.91942275
1290	1.91651702
1291	1.91288376
1292	1.93122435
1293	1.96558738
1294	1.97346425
1295	1.96679056
1296	1.96736145
1297	1.9842329
1298	1.99489355
1299	1.99813485
1300	2.00221324
1301	2.00856757
1302	2.02252221
1303	2.03266907
1304	2.04485393
1305	2.0498879
1306	2.05914545
1307	2.06449032
1308	2.06725049
1309	2.0699935
1310	2.05252051
1311	2.02202177
1312	2.02987003
1313	2.06556749
1314	2.07884955
1315	2.07779884
1316	2.07654667
1317	2.07677269
1318	2.07699609
1319	2.06958818
1320	2.058635
1321	2.06444645
1322	2.07633138
1323	2.07897425
1324	2.07519436
1325	2.07251883
1326	2.07799792
1327	2.08440495
1328	2.08422065
1329	2.07996774
1330	2.07071638
1331	2.05752945
1332	2.05779457
1333	2.07020617
1334	2.06989336
1335	2.04765391
1336	2.02775121
1337	2.00526953
1338	1.97843409
1339	1.94635308
1340	1.90529394
1341	1.8944416
1342	1.87424016
1343	1.86116099
